zinc_id,engine_H,ref_H,engine_O,ref_O,engine_cascade,ref_cascade
ZINCk500000gb1Dz,30.17721542856529,30.17721542856529,21.176283664229494,21.176283664229498,24.776656369963813,24.776656369963813
ZINCj500000d6QZu,35.53084632385342,35.53084632385342,18.461287455210456,18.461287455210456,25.28911100266764,25.289111002667642
ZINCj7000018UJuC,30.17721542856529,30.17721542856529,20.216214820082037,20.216214820082033,24.200615063475333,24.200615063475333
ZINCj6000002lwIg,36.38223751692659,36.38223751692659,18.66904702090123,18.66904702090123,25.75432321931137,25.75432321931137
ZINCk600000dqS5s,36.92824579056311,36.92824579056311,19.220841864390025,19.220841864390025,26.30380343485926,26.30380343485926
ZINCk5000003Z4oG,34.168309532736544,34.168309532736544,23.100615838208537,23.100615838208537,27.527693316019743,27.527693316019743
ZINCk5000009CSaS,31.8044562527589,31.8044562527589,19.436949489024983,19.436949489024986,24.383952194518557,24.383952194518553
ZINCk600000JSaH5,35.895530351877184,35.895530351877184,19.479396492051173,19.479396492051173,26.045850035981577,26.045850035981577
ZINCi700000BlTNB,35.53084632385342,35.53084632385342,16.939145489529828,16.939145489529828,24.375825823259262,24.375825823259262
ZINCj700000JUqud,35.525455647520424,35.525455647520424,18.51360666065219,18.51360666065219,25.318346255399486,25.318346255399486
ZINCj600000caafR,41.26263121052084,41.26263121052084,21.44659308793081,21.44659308793081,29.373008336966823,29.373008336966823
ZINCk7000004fsqA,31.38500740783896,31.385007407838962,20.513989546177942,20.513989546177942,24.86239669084235,24.86239669084235
ZINCk5000009F4nW,34.351665344695306,34.351665344695306,19.212965353269848,19.212965353269848,25.26844534984003,25.26844534984003
ZINCj700000EmEB7,34.932961828358735,34.932961828358735,19.09025206714417,19.090252067144174,25.42733597163,25.42733597163
ZINCk600000JT18V,34.351665344695306,34.351665344695306,17.930522043590756,17.930522043590756,24.49897936403257,24.498979364032575
ZINCk7000004goqI,34.168309532736544,34.168309532736544,17.94685334074335,17.94685334074335,24.435435817540625,24.435435817540625
ZINCj500000fkoCi,32.391143412755326,32.391143412755326,19.36697193703861,19.366971937038606,24.576640527325296,24.576640527325296
ZINCh500000xcsxS,36.38223751692659,36.38223751692659,16.800639074107902,16.800639074107902,24.633278451235373,24.633278451235373
ZINCj800000d8K7H,31.3584279740694,31.358427974069397,22.906370909127794,22.906370909127794,26.28719373510443,26.28719373510443
ZINCj600000JWQ1E,32.82741973004747,32.82741973004747,19.22052989037227,19.22052989037227,24.663285826242348,24.663285826242348
ZINCj600000d7Tys,34.168309532736544,34.168309532736544,18.411075965542334,18.411075965542338,24.713969392420022,24.713969392420022
ZINCk800000JTzlq,32.391143412755326,32.391143412755326,22.50566636623442,22.50566636623442,26.459857184842782,26.459857184842782
ZINCk500000BlPdx,34.351665344695306,34.351665344695306,18.305776520324045,18.305776520324045,24.72413205007255,24.72413205007255
ZINCk5000009GuYP,34.74960601639999,34.74960601639999,16.76209031201678,16.76209031201678,23.957096593770064,23.957096593770064
ZINCk800001bQ9hp,34.714317806373074,34.714317806373074,21.507402205786573,21.507402205786573,26.790168446021173,26.790168446021173
ZINCi800000Ja2iT,34.74960601639999,34.74960601639999,18.08419071198498,18.08419071198498,24.75035683375098,24.75035683375098
ZINCk500000BlQXX,38.34275944886656,38.34275944886656,19.53000726809992,19.530007268099922,27.05510814040657,27.055108140406574
ZINCk800000FCzIV,33.97334406552467,33.97334406552467,18.60221574311405,18.60221574311405,24.750667072078297,24.750667072078297
ZINCk800000JU0Vl,36.74488997860436,36.74488997860436,15.276486899503574,15.276486899503574,23.86384813114389,23.86384813114389
ZINCk5000003XF6t,38.34275944886656,38.34275944886656,15.99380337640674,15.99380337640674,24.933385805390667,24.933385805390667
ZINCk600000PBByA,34.351665344695306,34.351665344695306,19.68231919689425,19.68231919689425,25.55005765601467,25.55005765601467
ZINCk800000GfQcG,38.34275944886656,38.34275944886656,23.52542117020765,23.525421170207654,29.452356481671217,29.452356481671217
ZINCj7000018UKfs,34.168309532736544,34.168309532736544,17.572405224377647,17.572405224377647,24.210766947721204,24.210766947721204
ZINCk600000JRV3y,34.351665344695306,34.351665344695306,18.73022912066147,18.73022912066147,24.978803610275,24.978803610275
ZINCk8000004jEiV,37.36452210785526,37.36452210785526,20.493278466086853,20.493278466086853,27.24177592279421,27.241775922794215
ZINCk600000cvm9q,36.38223751692659,36.38223751692659,18.0313951261592,18.0313951261592,25.37173208246616,25.37173208246616
ZINCj8000002qF2B,38.0026487159081,38.0026487159081,17.070410267135543,17.070410267135543,25.443305646644564,25.443305646644564
ZINCk7000018Tv1J,34.351665344695306,34.351665344695306,20.05930150890997,20.059301508909975,25.77624704322411,25.77624704322411
ZINCj500000vzWwA,34.168309532736544,34.168309532736544,17.763062207678797,17.763062207678797,24.32516113770189,24.325161137701894
ZINCk50000041vWR,34.351665344695306,34.351665344695306,20.76756828892839,20.76756828892839,26.201207111235156,26.201207111235153
ZINCk800000Bmkv9,37.5207396097248,37.5207396097248,19.782785143936028,19.782785143936028,26.87796693025154,26.87796693025154
ZINCk600000Bn0vf,34.168309532736544,34.168309532736544,18.274131899722143,18.274131899722143,24.631802952927902,24.631802952927902
ZINCk6000004cBFz,38.510446443332455,38.510446443332455,17.706768718409396,17.706768718409396,26.028239808378625,26.028239808378622
ZINCk800000JRWGK,34.351665344695306,34.351665344695306,18.146336927478067,18.146336927478067,24.628468294364964,24.628468294364964
ZINCk800000Py8Z5,39.01564525778856,39.015645257788556,20.090524285666053,20.090524285666053,27.660572674515056,27.660572674515056
ZINCk800000JUqcY,34.932961828358735,34.932961828358735,17.078970168631248,17.078970168631248,24.220566832522245,24.220566832522245
ZINCj600000Boi0e,34.168309532736544,34.168309532736544,21.479674598679622,21.479674598679622,26.55512857230239,26.55512857230239
ZINCk50000040ELJ,33.97334406552467,33.97334406552467,19.0328988233139,19.0328988233139,25.009076920198208,25.009076920198208
ZINCk8000018Tgo7,34.168309532736544,34.168309532736544,23.67220277351195,23.67220277351195,27.870645477201784,27.870645477201784
ZINCk5000003X12S,34.168309532736544,34.168309532736544,22.34678372442366,22.34678372442366,27.07539404774881,27.075394047748812
ZINCj700000J9Lrv,38.34275944886656,38.34275944886656,18.66086290617439,18.66086290617439,26.53362152325126,26.53362152325126
ZINCj500000vEeDA,29.63794259251756,29.637942592517557,20.21443518335436,20.21443518335436,23.98383814701964,23.983838147019636
ZINCj6000002mjG7,36.06504208130489,36.06504208130489,16.586795132363104,16.586795132363104,24.378093911939818,24.378093911939818
ZINCk500000dpWow,30.758511912228727,30.758511912228727,19.35349437867547,19.35349437867547,23.91550139209677,23.915501392096772
ZINCj800000fqLLl,36.38223751692659,36.38223751692659,19.049764305273083,19.049764305273083,25.98275358993448,25.982753589934482
ZINCk5000009E2q6,31.851870576707604,31.851870576707604,20.84030990150647,20.84030990150647,25.24493417158692,25.24493417158692
ZINCk600000gqFi9,34.168309532736544,34.168309532736544,17.656362923626737,17.656362923626737,24.261141567270663,24.261141567270663
ZINCj500000y8Pyl,34.932961828358735,34.932961828358735,20.20761450884581,20.20761450884581,26.097753436650983,26.097753436650983
