zinc_id,smiles,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank
ZINCf50000009mwS,CNCCOCCN(C)C(=O)CCCN,217.31299999999996,-0.5802999999999978,2,4,9,1,0,,,23.099639396409902,9,5,4,5,3,1,2,2,2,15.726841794277618,12.933471646150224,7.664099281302099,41.392365061307046,15.475013583715144,1100
ZINCf50000009MT6,C[C@@H](O)CCNC(=O)c1cc(CN)on1,213.237,-0.3659999999999998,3,5,5,1,0,,,29.843934320818928,10,6,4,6,4,1,1,1,1,7.932521475509632,10.685205294417797,6.409958293944504,32.0847697339344,15.47488755101808,1101
ZINCf500000095Mu,CC[C@@H](O)CNC(=O)N=c1ncn(C)[nH]1,213.241,-0.8706,3,4,3,1,0,,,29.843934320818928,10,6,4,6,4,1,1,1,1,7.932521475509632,10.684177666777737,6.299989312429294,35.13423710792134,15.474116830288034,1102
ZINCf50000008Kaj,CC(=O)NCCCN(C)[C@@H](C)CC(N)=O,215.29699999999997,-0.29169999999999935,2,3,7,1,0,,,25.646848488346297,10,5,5,5,3,1,2,2,2,15.726841794277618,12.082776167537663,7.289198811438712,35.29131290759197,15.473794247739821,1103
ZINCf50000043T97,CNC(=O)C=CC(=O)NCc1csnn1,226.261,-0.5435000000000003,2,5,4,1,1,,michael_acceptor,28.216693496625318,10,5,5,5,3,1,1,1,1,7.932521475509632,11.224146278697352,6.7221379086187625,33.98462021343377,15.472283083179345,1104
ZINCf50000035wxK,Cn1nnc(C(=O)OCC=CCO)c1N,212.20899999999997,-0.8973999999999998,2,7,4,1,0,,,25.669484404688912,9,5,4,5,3,1,1,1,1,7.932521475509632,12.072723931347452,6.9466161848131005,46.06657002676181,15.471914049682816,1105
ZINCf50000009osu,CN[C@@H](C)CNC(=O)c1[nH]ncc1C#N,207.237,-0.3809199999999997,3,4,4,1,0,,,32.391143412755326,11,6,5,6,4,1,1,1,1,7.932521475509632,9.830009673912683,6.040470680349169,26.37924801156906,15.470293108623345,1106
ZINCf50000035Vvo,N=c1nc(C(=O)NC/C=C\\CN)cc[nH]1,207.237,-0.8661299999999992,4,4,4,1,0,,,27.848650358614552,9,5,4,5,3,1,0,0,0,0.0,11.343675194608904,6.613153151058274,39.847137901127496,15.469918985610315,1107
ZINCf5000002emfz,O=C(NC[C@H]1C[C@H](O)C1)c1cnc(O)o1,212.20499999999998,-0.11909999999999987,3,5,3,1,0,,,27.848650358614552,9,5,4,5,3,1,0,0,0,0.0,11.343209175058577,6.613153151058274,39.83564013840831,15.469569470947569,1108
ZINCf50000043PuQ,Cn1ncc(C#N)c1NCC[C@H](N)CO,209.253,-0.5866199999999997,3,6,5,1,0,,,29.843934320818928,10,6,4,6,4,1,1,1,1,7.932521475509632,10.678019137067531,6.449087477825878,31.017408295585753,15.469497933005382,1109
ZINCf500000097zZ,CC[C@H](CO)NCC(=O)N=c1cco[nH]1,213.23700000000002,-0.6045,3,4,5,1,0,,,27.848650358614552,9,5,4,5,3,1,0,0,0,0.0,11.34301198941384,6.602567308230961,40.219155844155864,15.469421581714018,1110
ZINCf5000002JnFX,NC(=O)[C@@H]1C[C@@H]1C(=O)Nc1cc(O)n[nH]1,210.193,-0.8248000000000004,4,4,3,1,0,,,27.536845599325844,9,4,5,4,2,1,0,0,0,0.0,11.445045806065187,6.776054725607644,36.80584442595675,15.46799575438035,1111
ZINCf50000035BJP,CN(CCN)C(=O)c1cc(C(=O)O)n[nH]1,212.209,-0.8613999999999993,3,4,4,1,0,,,32.391143412755326,11,6,5,6,4,1,1,1,1,7.932521475509632,9.82610705849862,6.151032174764581,24.411043311797084,15.467366147062798,1112
ZINCf5000002oVkL,NC1CC(NC(=O)c2cc(CO)[nH]n2)C1,210.23699999999997,-0.8785000000000003,4,4,3,1,0,,,32.983637231917015,11,7,4,7,4,1,2,2,2,20.41483539211624,9.619961040450114,5.9688609252538996,24.7740014015417,15.46088008831684,1113
ZINCf50000035ien,C[C@H](OCc1cn(CC#N)nn1)C(=O)O,210.19299999999998,-0.20862000000000008,1,6,5,1,0,,,27.40262207992505,9,5,4,5,2,1,0,0,0,0.0,11.475731518975987,6.699814191110037,39.96330071174378,15.457454159213253,1114
ZINCf50000008KlO,CC(=O)NCCNC(=O)c1cncnc1,208.22100000000003,-0.6574999999999998,2,4,4,1,0,,,26.221409534420943,9,4,5,4,2,1,0,0,0,0.0,11.86943780910684,6.9164660759356265,41.81044078361532,15.457430740435365,1115
ZINCf5000000Zvk6,Cc1c[nH]c(=NCCOCCO)nc1O,213.237,-0.6666800000000003,3,5,5,1,0,,,27.848650358614552,9,5,4,5,3,1,0,0,0,0.0,11.326497819040156,6.645711557611282,38.30814210061783,15.457035953933756,1116
ZINCf5000000anHV,Nc1cnc(C(=O)N[C@H]2CC[C@H]2O)cn1,208.22099999999998,-0.6881000000000004,3,5,2,1,0,,,30.395859450550955,10,5,5,5,3,1,0,0,0,0.0,10.477162549633114,6.240306099906977,32.63406263406264,15.456836774862575,1117
ZINCf5000002NZiq,CNC(=O)CCCN[C@H]1COCC[C@H]1N,215.29699999999997,-0.7815999999999981,3,4,5,1,0,,,27.274089312539918,10,6,4,6,4,1,2,2,2,15.726841794277618,11.516387028767554,6.972685427340195,33.05915138439409,15.455812599710644,1118
