stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count
43,ZINCk800000y7UEr,Cc1nnc2cnc(C(=O)NCCc3nncs3)cn12,17.857142857142858,18.646621874888975,0.7195666448804466,13.417487140868204,5,289.324,0.25671999999999967,1,8,4,1,,,,23.50426427259268,8,3,5,3,2,1,,,,,10.175740991423885,6.256528168227331,27.23843416370107,13.507871811716083,72,16,5,1.4393478386528338,1.1804061616346633,10.122770668152079,11.335914267238985,28
44,ZINCj600000JW0cn,CN1CC[C@H](CNC(=O)NCc2ccc[n+]([O-])c2)C1,10.714285714285714,13.705634530873795,0.978761297459847,13.414544635948516,3,264.329,0.07090000000000041,2,3,4,1,,,,21.17783005574874,6,3,3,3,2,1,,,,,4.739290759420431,2.924960695160954,12.481412639405207,8.848925583502508,341,16,3,0.3157402811120095,0.2920514171382467,5.667138254886672,5.463934639844535,28
45,ZINCk8000004iFHu,COC[C@H]1CN(c2nc(OC)c3nc[nH]c3n2)CCO1,17.857142857142858,18.646621874888975,0.7189152307181076,13.40534046729912,5,279.30000000000007,0.21309999999999946,1,7,4,1,,,,23.003440943939186,8,3,5,3,2,1,,,,,9.356354498091948,6.081668141243011,20.271682340647853,12.768126109553757,102,16,11,1.539282824296377,1.1198369254450793,10.122770668152079,8.954638814763209,28
46,ZINCk5000003YFKz,CN(CCCNCc1cn(C)nc1[N+](=O)[O-])S(C)(=O)=O,17.857142857142858,18.614658157328254,0.7197007803864666,13.39698400245645,5,305.36000000000007,-0.30059999999999865,1,7,8,1,,,,23.370539704909035,7,3,4,3,2,1,,,,,5.669704404972931,3.537391162446241,14.27391461463012,10.094913229956957,293,16,1,1.6486467257549935,0.9824432407910765,7.8947932208513265,6.5223199129695475,28
47,ZINCk500000gecR1,COC[C@H]1CN(C(=O)c2ncc([N+](=O)[O-])n2C)CCO1,14.285714285714286,15.882058156883279,0.8430043767294115,13.388644537723655,4,284.27200000000005,-0.18430000000000013,0,7,4,1,,,,27.447880049284816,8,5,3,5,2,1,,,,,8.876814156940258,5.6982197154382215,20.075222281104647,13.519580630026395,71,16,10,1.1129798398524096,0.7767785316868809,6.493394566788621,6.776307569521175,28
48,ZINCk800001bPpse,Cn1cnc(Cc2noc([C@H](O)c3ccn(C)n3)n2)c1,14.285714285714286,15.195105438906717,0.8805716376465743,13.380378880550456,4,274.284,0.20909999999999962,1,8,4,1,,,,21.311554623432382,7,3,4,3,2,1,,,,,9.06317348724513,5.5389667749179985,24.916424418604652,12.125268771291944,140,16,5,0.7198708447920952,0.7145516651851116,7.8947932208513265,6.941731420362452,28
49,ZINCj800000JVLwz,CCN1CC[C@@H]1CNC(=O)NCc1ccc[n+]([O-])c1,10.714285714285714,13.705634530873795,0.9700340877078923,13.29493268861395,3,264.329,0.21340000000000026,2,3,5,1,,,,21.17783005574874,6,3,3,3,2,1,,,,,5.071673977397326,3.135804281675529,13.253869969040249,9.09821299698518,322,16,2,0.30872959996382415,0.38193407320590733,5.667138254886672,5.386638619487192,28
50,ZINCk700000JTSsL,COC(=O)c1cccn1NC(=O)Cn1cc(C#N)cn1,17.857142857142858,17.910423094950616,0.7415246615820251,13.281020424274143,5,273.25199999999995,0.11317999999999945,1,7,4,1,,,,23.003440943939186,8,3,5,3,2,1,,,,,7.787673747780113,5.042135226290723,17.09769244745927,11.591615546819881,182,16,2,1.5460904113350649,1.0932778027557561,7.73709680694251,7.940034297876783,28
51,ZINCk7000004fzNS,COC[C@H]1C[C@@H](O)CN1C(=O)c1cc([N+](=O)[O-])cn1C,14.285714285714286,15.882058156883279,0.8314097899135344,13.204498635608863,4,283.284,0.1550999999999998,1,6,4,1,,,,26.753501871115127,8,4,4,4,2,1,,,,,7.078712573444277,4.391679971021947,18.23687455954898,11.99740989786199,149,16,2,1.2947753826149524,0.7047448993656354,6.493394566788621,6.759305980823117,28
52,CHEMBL2431119,C=Cc1nc(N2CCN(c3ccccc3OC)CC2)c2cc(OC)c(OC)cc2n1,17.857142857142858,19.333574592865542,0.6823514468647616,13.192292596509596,5,406.4860000000002,3.625200000000002,0,7,6,1,,,,24.206278129054905,8,4,4,4,2,1,,,,,12.906561256125574,9.080058871455604,22.30723821632911,15.731490474357907,26,16,2,1.7965610909175205,1.289963594228004,10.122770668152079,10.271579091943602,28
