stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count,pool_source_stage3_rank,pool_source_hotspot_breadth,pool_source_native_support,pool_primary_source,murcko_scaffold,native_candidate_pool_rank,native_selection_rank,source_input_rank
95,ZINCj800000PwOle,CC[C@H](O)CONc1nccc(C(N)=O)c1[N+](=O)[O-],17.857142857142858,18.61465815732825,0.6850237587190809,12.7514830982038,5,270.245,0.2031000000000002,3,7,7,1,,,,31.82571746489658,10,4,6,4,2,1,,,,,5.688872947353723,3.574359913169639,13.92891248174363,12.223084076739438,145,16,10,1.8365150198909213,1.219525820242716,7.8947932208513265,7.387025967055711,28,1,1,1,stage3_rank,c1ccncc1,21,21,21
44,CHEMBL1547420,COC(=O)C(=Cc1ccc(OCc2ccc([N+](=O)[O-])cc2)c(OC)c1)C(=O)OC,17.857142857142858,19.333574592865546,0.6992165141750235,13.518354633366243,5,401.37100000000015,2.9118000000000013,0,8,8,1,,,,31.406220716887624,9,6,3,6,2,1,,,,,15.064507037389346,10.177605524618754,28.97924542859347,19.14993545726392,17,16,3,1.933240320312111,1.0732883860535023,10.12277066815208,10.178318846157726,28,1,1,1,stage3_rank,c1ccc(COc2ccccc2)cc1,22,22,22
185,CHEMBL1312502,O=C(Nc1ccc(N2CCN(C(=O)c3ccco3)CC2)c(Cl)c1)c1cc2ccccc2o1,17.857142857142858,17.973222741778123,0.6526922390353297,11.730982994011873,5,449.8940000000002,4.893900000000004,1,5,4,1,,,,30.743637598735862,10,5,5,5,2,1,,,,,17.165908797600977,12.090975297477508,29.582574509293774,20.560340997884698,12,16,6,1.6657106508814734,1.4746280244214862,11.52637709777014,12.656751170929876,28,1,1,1,stage3_rank,O=C(Nc1ccc(N2CCN(C(=O)c3ccco3)CC2)cc1)c1cc2ccccc2o1,23,23,23
144,ZINCj8000018TxlL,O=c1sc(Br)nn1C[C@@H](O)Cn1cc([N+](=O)[O-])cn1,14.285714285714286,15.88205815688328,0.7722467350883296,12.264867558136086,4,350.15400000000005,0.2330999999999999,1,9,5,1,,,,30.71184253871794,9,5,4,5,2,1,,,,,12.686450282892652,7.508320554256338,40.878169449598026,17.192798346848974,20,16,10,1.1434679773902665,1.1015548227748548,6.493394566788621,5.488546594655359,28,1,1,1,stage3_rank,O=c1scnn1CCCn1cccn1,24,24,24
115,ZINCk700000wTyDp,Cc1cnc(C(=O)N[C@@H](C)Cc2cnccn2)c[n+]1[O-],17.857142857142858,18.64662187488897,0.6698214950926692,12.489908142665804,5,273.296,0.17442,1,5,4,1,,,,30.71184253871794,9,5,4,5,2,1,,,,,11.244765795968004,7.083145749192369,27.262575503781523,16.11153498165549,29,16,8,1.8459737781910888,1.2801653284615826,10.12277066815208,9.326729160763014,28,1,1,1,stage3_rank,O=C(NCCc1cnccn1)c1c[nH+]ccn1,25,25,25
36,ZINCi60000011AhG,O=[N+]([O-])c1cn(C[C@@H](O)COc2cnsn2)cn1,17.857142857142858,18.61465815732825,0.7363484027675354,13.706873802212334,5,271.258,0.0826999999999996,1,9,6,1,,,,30.71184253871794,9,5,4,5,2,1,,,,,10.833195397353707,6.368545005201272,36.23713831917684,15.802857182694764,30,16,10,1.5270750788487524,1.1010891211158946,7.8947932208513265,7.223081188929799,28,1,1,1,stage3_rank,c1cn(CCCOc2cnsn2)cn1,26,26,26
124,ZINCj8000002oAIw,Cc1noc(CN(C)Cc2nnc(O)o2)c1[N+](=O)[O-],17.857142857142858,18.61465815732825,0.666347544522304,12.40383175525776,5,269.21700000000004,0.6118199999999998,1,9,5,1,,,,30.71184253871794,9,5,4,5,2,1,,,,,10.669972497461371,6.76359089375167,25.25797780090184,15.680440007775514,33,16,11,1.838508670428028,1.3531368925675082,7.8947932208513265,7.495200657144022,28,1,1,1,stage3_rank,c1cc(CNCc2nnco2)on1,27,27,27
40,ZINCk800000J9VdZ,CCn1cncc1COC(=O)Cc1nc([N+](=O)[O-])n[nH]1,17.857142857142858,18.61465815732825,0.729570428221822,13.580704123044807,5,280.2439999999999,0.2151999999999996,1,8,6,1,,,,30.71184253871794,9,5,4,5,2,1,,,,,10.331502611801223,6.39405409221875,26.89083965679709,15.4265875935304,38,16,3,1.4894448707107786,1.1770474199807477,7.8947932208513265,7.260011621945166,28,1,1,1,stage3_rank,O=C(Cc1ncn[nH]1)OCc1cnc[nH]1,28,28,28
99,ZINCk800000JTkS3,Cn1cc([N+](=O)[O-])c(-c2nc(COCCCO)no2)n1,14.285714285714286,15.88205815688328,0.7984976999383839,12.681786908558948,4,283.244,0.2772999999999999,1,9,7,1,,,,30.71184253871794,9,5,4,5,2,1,,,,,9.972115943212522,6.084578822646549,27.61719335030703,15.157047592088876,40,16,13,1.2681343774967662,0.9382526852876996,6.493394566788621,6.827103359826814,28,1,1,1,stage3_rank,c1noc(-c2cc[nH]n2)n1,29,29,29
134,ZINCk7000004f2wJ,CN(Cc1nnc(O)o1)c1ncc(C#N)cc1[N+](=O)[O-],14.285714285714286,15.88205815688328,0.7759481550251008,12.323653724834934,4,276.21200000000005,0.5864799999999997,1,9,4,1,,,,30.71184253871794,9,5,4,5,2,1,,,,,9.679898116315211,5.926785893464412,26.39342067834613,14.937884221915896,45,16,15,1.2829799823866934,1.0679289799660046,6.493394566788621,6.175149083722376,28,1,1,1,stage3_rank,c1ccc(NCc2nnco2)nc1,30,30,30
