system,shortlist_fraction,n_native_scored,n_actives_retained,active_retention,compute_reduction,n_input,n_actives_input,n_candidates
NTSR1,0.006545932603684639,3,3,0.06,10516.666666666666,31550,50,384
NTSR1,0.007160973027882212,3,3,0.06,10516.666666666666,31550,50,384
NTSR1,0.007833801203084776,4,4,0.08,7887.5,31550,50,384
NTSR1,0.008569846730396303,4,4,0.08,7887.5,31550,50,384
NTSR1,0.009375049363464097,4,4,0.08,7887.5,31550,50,384
NTSR1,0.01025590694121132,4,4,0.08,7887.5,31550,50,384
NTSR1,0.011219527824216275,5,5,0.1,6310.0,31550,50,384
NTSR1,0.012273688257890505,5,5,0.1,6310.0,31550,50,384
NTSR1,0.01342689512536615,6,6,0.12,5258.333333333333,31550,50,384
NTSR1,0.014688454596496845,6,6,0.12,5258.333333333333,31550,50,384
NTSR1,0.01606854722695735,7,7,0.14,4507.142857142857,31550,50,384
NTSR1,0.017578310113477717,7,7,0.14,4507.142857142857,31550,50,384
NTSR1,0.01922992676819004,8,8,0.16,3943.75,31550,50,384
NTSR1,0.021036725437357306,9,9,0.18,3505.5555555555557,31550,50,384
NTSR1,0.023013286657898636,9,9,0.18,3505.5555555555557,31550,50,384
NTSR1,0.025175560919672622,10,10,0.2,3155.0,31550,50,384
NTSR1,0.027540997383031812,11,10,0.2,2868.181818181818,31550,50,384
NTSR1,0.030128684690375863,12,11,0.22,2629.1666666666665,31550,50,384
NTSR1,0.03295950500802676,13,12,0.24,2426.923076923077,31550,50,384
NTSR1,0.036056302541516254,14,12,0.24,2253.5714285714284,31550,50,384
NTSR1,0.03944406788417312,16,12,0.24,1971.875,31550,50,384
NTSR1,0.043150139686669885,17,12,0.24,1855.8823529411766,31550,50,384
NTSR1,0.04720442527496569,19,14,0.28,1660.5263157894738,31550,50,384
NTSR1,0.05,20,15,0.3,1577.5,31550,50,384
NTSR1,0.05163964199699178,20,15,0.3,1577.5,31550,50,384
NTSR1,0.05649158124570375,22,15,0.3,1434.090909090909,31550,50,384
NTSR1,0.06179939728911861,24,15,0.3,1314.5833333333333,31550,50,384
NTSR1,0.06760592323814218,26,17,0.34,1213.4615384615386,31550,50,384
NTSR1,0.07395801670199038,29,17,0.34,1087.9310344827586,31550,50,384
NTSR1,0.08090693792058029,32,18,0.36,985.9375,31550,50,384
NTSR1,0.08850876342535115,34,18,0.36,927.9411764705883,31550,50,384
NTSR1,0.09682483856668235,38,18,0.36,830.2631578947369,31550,50,384
NTSR1,0.10592227255972307,41,19,0.38,769.5121951219512,31550,50,384
NTSR1,0.11587448004356327,45,20,0.4,701.1111111111111,31550,50,384
NTSR1,0.1267617735240295,49,20,0.4,643.8775510204082,31550,50,384
NTSR1,0.1386720114810124,54,20,0.4,584.2592592592592,31550,50,384
NTSR1,0.1517013073704331,59,20,0.4,534.7457627118644,31550,50,384
NTSR1,0.16595480524236655,64,20,0.4,492.96875,31550,50,384
NTSR1,0.1815475282344179,70,20,0.4,450.7142857142857,31550,50,384
NTSR1,0.19860530678754051,77,20,0.4,409.7402597402597,31550,50,384
NTSR1,0.21726579407482824,84,20,0.4,375.5952380952381,31550,50,384
NTSR1,0.23767957683760663,92,20,0.4,342.9347826086956,31550,50,384
NTSR1,0.2600113905930703,100,20,0.4,315.5,31550,50,384
NTSR1,0.2844414490199701,110,21,0.42,286.8181818181818,31550,50,384
NTSR1,0.3111668982502514,120,21,0.42,262.9166666666667,31550,50,384
NTSR1,0.340403407802512,131,21,0.42,240.83969465648855,31550,50,384
NTSR1,0.3723869109958247,143,21,0.42,220.62937062937064,31550,50,384
NTSR1,0.4073755088887481,157,21,0.42,200.95541401273886,31550,50,384
NTSR1,0.44565155310796406,172,22,0.44,183.43023255813952,31550,50,384
NTSR1,0.4875239243745958,188,22,0.44,167.81914893617022,31550,50,384
NTSR1,0.5333305251154955,205,22,0.44,153.90243902439025,31550,50,384
NTSR1,0.5834410062744237,225,22,0.44,140.22222222222223,31550,50,384
NTSR1,0.6382597503279897,246,22,0.44,128.2520325203252,31550,50,384
NTSR1,0.6982291345787537,269,22,0.44,117.28624535315986,31550,50,384
NTSR1,0.7638331010596642,294,22,0.44,107.31292517006803,31550,50,384
NTSR1,0.8356010618583211,321,22,0.44,98.28660436137072,31550,50,384
NTSR1,0.9141121713763147,352,23,0.46,89.63068181818181,31550,50,384
NTSR1,1.0,384,23,0.46,82.16145833333333,31550,50,384
MDM2-p53,0.005,152,30,0.6,207.56578947368422,31550,50,30322
MDM2-p53,0.005469788234491888,166,30,0.6,190.06024096385542,31550,50,30322
MDM2-p53,0.005983716666037179,182,30,0.6,173.35164835164835,31550,50,30322
MDM2-p53,0.006545932603684639,199,30,0.6,158.5427135678392,31550,50,30322
MDM2-p53,0.007160973027882212,218,30,0.6,144.72477064220183,31550,50,30322
MDM2-p53,0.007833801203084776,238,31,0.62,132.56302521008402,31550,50,30322
MDM2-p53,0.008569846730396303,260,31,0.62,121.34615384615384,31550,50,30322
MDM2-p53,0.009375049363464097,285,32,0.64,110.70175438596492,31550,50,30322
MDM2-p53,0.01025590694121132,311,33,0.66,101.44694533762058,31550,50,30322
MDM2-p53,0.011219527824216275,341,33,0.66,92.52199413489735,31550,50,30322
MDM2-p53,0.012273688257890505,373,34,0.68,84.58445040214477,31550,50,30322
MDM2-p53,0.01342689512536615,408,36,0.72,77.32843137254902,31550,50,30322
MDM2-p53,0.014688454596496845,446,36,0.72,70.73991031390135,31550,50,30322
MDM2-p53,0.01606854722695735,488,36,0.72,64.65163934426229,31550,50,30322
MDM2-p53,0.017578310113477717,534,36,0.72,59.08239700374532,31550,50,30322
